team,name,AB,H,2B,3B,HR,TB,BB,HBP,SF
ＤｅＮＡ,ジャクソン,42.0,2.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0
ＤｅＮＡ,篠木健太郎,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,柴田竜拓,22.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0
ＤｅＮＡ,関根大気,23.0,4.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0
ＤｅＮＡ,平良拳太郎,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,竹田祐,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ＤｅＮＡ,武田陸玖,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,田内真翔,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ＤｅＮＡ,知野直人,17.0,3.0,1.0,0.0,1.0,7.0,3.0,0.0,0.0
ＤｅＮＡ,筒香嘉智,224.0,51.0,12.0,0.0,20.0,123.0,33.0,0.0,0.0
ＤｅＮＡ,戸柱恭孝,95.0,23.0,4.0,0.0,2.0,33.0,2.0,0.0,2.0
ＤｅＮＡ,中川虎大,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,バウアー,34.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
ＤｅＮＡ,橋本達弥,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,浜地真澄,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,林琢真,258.0,63.0,11.0,1.0,2.0,82.0,19.0,2.0,4.0
ＤｅＮＡ,颯,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ＤｅＮＡ,ビシエド,81.0,21.0,4.0,0.0,2.0,31.0,6.0,2.0,1.0
ＤｅＮＡ,フォード,46.0,9.0,1.0,0.0,0.0,10.0,5.0,0.0,0.0
ＤｅＮＡ,藤浪晋太郎,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,堀岡隼人,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,マルセリーノ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,牧秀悟,364.0,101.0,24.0,0.0,16.0,173.0,16.0,10.0,1.0
ＤｅＮＡ,松尾汐恩,176.0,44.0,5.0,0.0,4.0,61.0,9.0,3.0,3.0
ＤｅＮＡ,松本凌人,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,三嶋一輝,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,三森大貴,160.0,34.0,9.0,0.0,0.0,43.0,17.0,0.0,1.0
ＤｅＮＡ,宮城滝太,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,宮﨑敏郎,321.0,89.0,16.0,1.0,6.0,125.0,28.0,1.0,2.0
ＤｅＮＡ,森敬斗,72.0,11.0,0.0,1.0,0.0,13.0,2.0,0.0,1.0
ＤｅＮＡ,森唯斗,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,森原康平,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,山﨑康晃,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,山本祐大,313.0,82.0,19.0,2.0,3.0,114.0,16.0,4.0,7.0
ＤｅＮＡ,吉野光樹,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,若松尚輝,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,度会隆輝,270.0,65.0,10.0,2.0,6.0,97.0,24.0,1.0,2.0
広島,アドゥワ誠,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,會澤翼,43.0,5.0,1.0,0.0,0.0,6.0,7.0,2.0,0.0
広島,秋山翔吾,145.0,38.0,6.0,0.0,1.0,47.0,9.0,2.0,0.0
広島,石原貴規,104.0,20.0,4.0,0.0,0.0,24.0,4.0,3.0,0.0
広島,磯村嘉孝,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,上本崇司,27.0,5.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0
広島,内田湘大,9.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
広島,遠藤淳志,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,大瀬良大地,34.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
広島,大道温貴,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,大盛穂,162.0,43.0,6.0,1.0,3.0,60.0,9.0,0.0,0.0
広島,岡本駿,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,菊地ハルン,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,菊池涼介,355.0,89.0,19.0,0.0,4.0,120.0,14.0,1.0,2.0
広島,久保修,13.0,2.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0
広島,栗林良吏,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,小園海斗,521.0,161.0,24.0,4.0,3.0,202.0,42.0,5.0,2.0
広島,斉藤優汰,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,坂倉将吾,345.0,82.0,26.0,1.0,5.0,125.0,43.0,4.0,3.0
広島,佐々木泰,181.0,49.0,2.0,1.0,0.0,53.0,5.0,1.0,0.0
広島,佐藤啓介,15.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
広島,佐藤柳之介,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
広島,島内颯太郎,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,清水叶人,13.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
広島,末包昇大,437.0,106.0,18.0,3.0,11.0,163.0,33.0,2.0,5.0
広島,鈴木健矢,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,髙太一,15.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
広島,高橋昂也,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
広島,滝田一希,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,田中広輔,34.0,5.0,0.0,0.0,0.0,5.0,9.0,1.0,0.0
広島,玉村昇悟,22.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
広島,田村俊介,63.0,16.0,0.0,1.0,1.0,21.0,6.0,0.0,0.0
広島,辻大雅,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,常廣羽也斗,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,ドミンゲス,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,床田寛樹,54.0,14.0,2.0,0.0,1.0,19.0,0.0,0.0,0.0
広島,堂林翔太,70.0,13.0,6.0,0.0,1.0,22.0,6.0,0.0,0.0
広島,中﨑翔太,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,中村健人,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
広島,中村奨成,344.0,97.0,21.0,3.0,9.0,151.0,17.0,3.0,1.0
広島,野間峻祥,154.0,38.0,3.0,2.0,0.0,45.0,10.0,1.0,1.0
広島,ハーン,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,長谷部銀次,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,羽月隆太郎,105.0,31.0,2.0,2.0,0.0,37.0,13.0,0.0,0.0
広島,林晃汰,48.0,9.0,0.0,0.0,2.0,15.0,1.0,0.0,0.0
