name,AB,H,2B,3B,HR,TB,BB,HBP,SF
島内宏明,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
荘司康誠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鈴木翔天,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鈴木大地,172.0,41.0,3.0,2.0,2.0,54.0,13.0,11.0,1.0
宋家豪,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ターリー,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
泰勝利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
瀧中瞭太,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
辰己涼介,367.0,88.0,12.0,2.0,7.0,125.0,40.0,9.0,5.0
田中和基,18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
田中貴也,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
津留﨑大成,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中込陽翔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中島大輔,462.0,123.0,11.0,5.0,6.0,162.0,17.0,2.0,2.0
西垣雅矢,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西口直人,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
則本昂大,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ハワード,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
早川隆久,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
林優樹,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日當直喜,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
フランコ,317.0,75.0,9.0,0.0,7.0,105.0,24.0,1.0,5.0
藤井聖,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
藤平尚真,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ボイト,243.0,73.0,9.0,0.0,13.0,121.0,27.0,6.0,0.0
堀内謙伍,168.0,43.0,3.0,1.0,3.0,57.0,17.0,0.0,1.0
松井友飛,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松田啄磨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宮森智志,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
武藤敦貴,108.0,22.0,3.0,2.0,0.0,29.0,14.0,2.0,2.0
宗山塁,430.0,112.0,19.0,3.0,3.0,146.0,20.0,1.0,9.0
村林一輝,513.0,144.0,14.0,0.0,3.0,167.0,28.0,3.0,3.0
ヤフーレ,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
陽柏翔,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
吉野創士,13.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
吉納翼,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
渡辺翔太,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
渡邊佳明,147.0,41.0,4.0,0.0,0.0,45.0,12.0,0.0,6.0
東晃平,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阿部翔太,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
井口和朋,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
石川亮,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
入山海斗,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
