team,name,Hand,AVG,HR,SLG,SB,IsoD,type_power,type_avg,type_speed,type_eye,type_all
広島,シャイナー,右打,0.13333333333333333,1.0,0.26666666666666666,0.0,0.027956989247311825,0,0,0,0,0
広島,末包昇大,右打,0.23776223776223776,9.0,0.3811188811188811,1.0,0.045132499079867494,0,0,0,0,0
広島,滝田一希,左打,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
広島,田中広輔,左打,0.15625,2.0,0.23958333333333334,1.0,0.07523148148148148,0,0,0,0,0
広島,玉村昇悟,左打,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0,0,0,0,0
広島,田村俊介,左打,0.19801980198019803,0.0,0.26732673267326734,1.0,0.030551626591230535,0,0,0,0,0
広島,常廣羽也斗,右打,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
広島,堂林翔太,右打,0.22950819672131148,1.0,0.29508196721311475,0.0,0.04700695479384001,0,0,0,0,0
広島,床田寛樹,左打,0.17777777777777778,0.0,0.17777777777777778,0.0,0.0,0,0,0,0,0
広島,仲田侑仁,右打,0.25,0.0,0.25,0.0,0.0,0,0,0,0,0
広島,中村健人,右打,0.08333333333333333,1.0,0.20833333333333334,0.0,0.0,0,0,0,0,0
広島,中村奨成,右打,0.14492753623188406,0.0,0.17391304347826086,0.0,0.012215320910973076,0,0,0,0,0
広島,中村貴浩,左打,0.20833333333333334,0.0,0.20833333333333334,0.0,0.0,0,0,0,0,0
広島,韮澤雄也,左打,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0,0,0,0,0
広島,野間峻祥,左打,0.2710997442455243,1.0,0.340153452685422,8.0,0.07890025575447568,0,0,1,0,0
広島,野村祐輔,右打,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
広島,ハッチ,右打,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0,0,0,0,0
広島,羽月隆太郎,左打,0.22727272727272727,0.0,0.2727272727272727,12.0,0.03359683794466403,0,0,1,0,0
広島,林晃汰,左打,0.18333333333333332,0.0,0.25,0.0,0.05104166666666668,0,0,0,0,0
広島,二俣翔一,右打,0.19626168224299065,1.0,0.2616822429906542,1.0,0.06235900741218178,0,0,0,0,0
広島,松山竜平,左打,0.1780821917808219,1.0,0.273972602739726,0.0,0.039866526167896044,0,0,0,0,0
広島,森翔平,左打,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0,0,0,0,0
広島,森下暢仁,右打,0.23404255319148937,0.0,0.2553191489361702,0.0,0.03126356925749024,0,0,0,0,0
広島,矢野雅哉,左打,0.26046511627906976,2.0,0.3325581395348837,13.0,0.061640146878824964,0,0,1,0,0
広島,レイノルズ,右打,0.0,0.0,0.0,0.0,0.16666666666666666,0,0,0,1,0
ヤクルト,青木宣親,左打,0.2288135593220339,0.0,0.2711864406779661,2.0,0.0580081461043227,0,0,0,0,0
ヤクルト,赤羽由紘,右打,0.2413793103448276,2.0,0.3793103448275862,4.0,0.02091577162238553,0,0,0,0,0
ヤクルト,石川雅規,左打,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0,0,0,0,0
ヤクルト,伊藤琉偉,右打,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
ヤクルト,岩田幸宏,左打,0.22764227642276422,1.0,0.2682926829268293,10.0,0.04716688388257931,0,0,0,0,0
ヤクルト,内山壮真,右打,0.19230769230769232,0.0,0.21153846153846154,1.0,0.02991452991452989,0,0,0,0,0
ヤクルト,オスナ,右打,0.26716141001855287,17.0,0.4137291280148423,0.0,0.05249670963956676,1,0,0,0,0
ヤクルト,太田賢吾,左打,0.20408163265306123,0.0,0.2653061224489796,0.0,0.015918367346938772,0,0,0,0,0
ヤクルト,大西広樹,右打,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
ヤクルト,小川泰弘,右打,0.16666666666666666,0.0,0.16666666666666666,0.0,0.043859649122807015,0,0,0,0,0
ヤクルト,奥川恭伸,右打,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
ヤクルト,金久保優斗,左打,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
ヤクルト,川端慎吾,左打,0.22413793103448276,0.0,0.22413793103448276,0.0,0.038157150932730366,0,0,0,0,0
ヤクルト,北村拓己,右打,0.125,1.0,0.2,2.0,0.10416666666666666,0,0,0,1,0
ヤクルト,小澤怜史,左打,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0,0,0,0,0
ヤクルト,小森航大郎,右打,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
ヤクルト,サイスニード,右打,0.10714285714285714,0.0,0.14285714285714285,0.0,0.0,0,0,0,0,0
ヤクルト,サンタナ,右打,0.315035799522673,17.0,0.5059665871121718,2.0,0.08372453105583938,1,1,0,1,1
ヤクルト,阪口皓亮,左打,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
ヤクルト,澤井廉,左打,0.16,1.0,0.28,0.0,0.032307692307692315,0,0,0,0,0
ヤクルト,塩見泰隆,右打,0.26732673267326734,3.0,0.38613861386138615,3.0,0.06895645316744065,0,0,0,0,0
ヤクルト,鈴木叶,右打,0.5,0.0,0.5,0.0,0.0,1,1,0,0,0
ヤクルト,高梨裕稔,右打,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
ヤクルト,高橋奎二,左打,0.15789473684210525,0.0,0.15789473684210525,0.0,0.021592442645074233,0,0,0,0,0
ヤクルト,武岡龍世,左打,0.17692307692307693,3.0,0.27692307692307694,1.0,0.057119476268412434,0,0,0,0,0
ヤクルト,長岡秀樹,左打,0.2879858657243816,6.0,0.3674911660777385,4.0,0.0364733688846034,0,0,0,0,0
ヤクルト,中村悠平,右打,0.23711340206185566,0.0,0.26804123711340205,0.0,0.07787130741826664,0,0,0,0,0
ヤクルト,並木秀尊,右打,0.23255813953488372,1.0,0.32558139534883723,10.0,0.017441860465116282,0,0,0,0,0
ヤクルト,西川遥輝,左打,0.2597402597402597,1.0,0.3246753246753247,10.0,0.09025974025974026,0,0,0,1,0
ヤクルト,西田明央,右打,0.13636363636363635,0.0,0.18181818181818182,0.0,0.030303030303030304,0,0,0,0,0
ヤクルト,橋本星哉,左打,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
