投手,チーム,打者,チーム,打率,打席,打数,安打,単打,二塁打,三塁打,本塁打,塁打,四球,死球,犠飛,三振,OPS,出塁率,長打率
松木平　優太,中日,岡本　和真,巨人,0.5,3,2,1,0,0,0,1,4,1,0,0,0,2.667,0.667,2
祖父江　大輔,中日,岡本　和真,巨人,0.667,3,3,2,1,1,0,0,3,0,0,0,0,1.667,0.667,1
松山　晋也,中日,岡本　和真,巨人,0.333,3,3,1,1,0,0,0,1,0,0,0,0,0.666,0.333,0.333
Ｒ．マルティネス,中日,岡本　和真,巨人,0.333,3,3,1,0,1,0,0,2,0,0,0,0,1,0.333,0.667
福谷　浩司,中日,岡本　和真,巨人,0.333,3,3,1,1,0,0,0,1,0,0,0,0,0.666,0.333,0.333
清水　達也,中日,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0
橋本　侑樹,中日,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
松葉　貴大,中日,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
齋藤　綱記,中日,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
福　敬登,中日,岡本　和真,巨人,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
有原　航平,ソフトバンク,岡本　和真,巨人,0,3,2,0,0,0,0,0,0,1,0,0,1,0.333,0.333,0
大関　友久,ソフトバンク,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
東浜　巨,ソフトバンク,岡本　和真,巨人,0.333,3,3,1,0,0,0,1,4,0,0,0,2,1.666,0.333,1.333
松本　裕樹,ソフトバンク,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
杉山　一樹,ソフトバンク,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
津森　宥紀,ソフトバンク,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ｒ．オスナ,ソフトバンク,岡本　和真,巨人,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
金村　尚真,日本ハム,岡本　和真,巨人,0.5,4,4,2,1,0,0,1,5,0,0,0,1,1.75,0.5,1.25
加藤　貴之,日本ハム,岡本　和真,巨人,0.333,3,3,1,0,0,0,1,4,0,0,0,0,1.666,0.333,1.333
山﨑　福也,日本ハム,岡本　和真,巨人,0.5,3,2,1,0,1,0,0,2,1,0,0,1,1.667,0.667,1
生田目　翼,日本ハム,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
河野　竜生,日本ハム,岡本　和真,巨人,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Ａ．ザバラ,日本ハム,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
田中　瑛斗,日本ハム,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
渡邉　勇太朗,西武,岡本　和真,巨人,0.5,3,2,1,1,0,0,0,1,0,0,0,0,0.833,0.333,0.5
與座　海人,西武,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
髙橋　光成,西武,岡本　和真,巨人,0.5,2,2,1,1,0,0,0,1,0,0,0,0,1,0.5,0.5
ボー・タカハシ,西武,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
豆田　泰志,西武,岡本　和真,巨人,0.5,2,2,1,0,1,0,0,2,0,0,0,0,1.5,0.5,1
中村　祐太,西武,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
平井　克典,西武,岡本　和真,巨人,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
田村　伊知郎,西武,岡本　和真,巨人,1,1,1,1,1,0,0,0,1,0,0,0,0,2,1,1
東　晃平,オリックス,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
佐藤　一磨,オリックス,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
齋藤　響介,オリックス,岡本　和真,巨人,0,2,1,0,0,0,0,0,0,0,1,0,1,0.5,0.5,0
井口　和朋,オリックス,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Ａ．マチャド,オリックス,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
古田島　成龍,オリックス,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
本田　仁海,オリックス,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
博志 （鈴木　博志）,オリックス,岡本　和真,巨人,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
種市　篤暉,ロッテ,岡本　和真,巨人,0,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0
西野　勇士,ロッテ,岡本　和真,巨人,0.333,3,3,1,1,0,0,0,1,0,0,0,1,0.666,0.333,0.333
小島　和哉,ロッテ,岡本　和真,巨人,0.5,2,2,1,1,0,0,0,1,0,0,0,0,1,0.5,0.5
二保　旭,ロッテ,岡本　和真,巨人,1,2,2,2,1,1,0,0,3,0,0,0,0,2.5,1,1.5
澤田　圭佑,ロッテ,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
吉田　凌,ロッテ,岡本　和真,巨人,1,1,1,1,0,1,0,0,2,0,0,0,0,3,1,2
Ｃ．ポンセ,楽天,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
内　星龍,楽天,岡本　和真,巨人,0.333,3,3,1,0,1,0,0,2,0,0,0,0,1,0.333,0.667
藤井　聖,楽天,岡本　和真,巨人,0,2,0,0,0,0,0,0,0,2,0,0,0,1,1,0
渡辺　翔太,楽天,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
則本　昂大,楽天,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
宋　家豪,楽天,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ｎ．ターリー,楽天,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
