投手,チーム,打者,チーム,打率,打席,打数,安打,単打,二塁打,三塁打,本塁打,塁打,四球,死球,犠飛,三振,OPS,出塁率,長打率
坂本　裕哉,DeNA,岡本　和真,巨人,0.45,21,20,9,4,3,0,2,18,1,0,0,0,1.376,0.476,0.9
Ｓ．パットン,DeNA,岡本　和真,巨人,0.2,19,15,3,2,0,0,1,6,2,2,0,4,0.768,0.368,0.4
京山　将弥,DeNA,岡本　和真,巨人,0.385,18,13,5,3,2,0,0,7,5,0,0,3,1.094,0.556,0.538
Ｅ．エスコバー,DeNA,岡本　和真,巨人,0.231,16,13,3,0,1,0,2,10,3,0,0,7,1.144,0.375,0.769
国吉　佑樹,DeNA,岡本　和真,巨人,0.286,16,14,4,2,0,0,2,10,2,0,0,5,1.089,0.375,0.714
三上　朋也,DeNA,岡本　和真,巨人,0.2,15,15,3,3,0,0,0,3,0,0,0,4,0.4,0.2,0.2
平田　真吾,DeNA,岡本　和真,巨人,0.286,15,14,4,3,0,1,0,6,1,0,0,5,0.762,0.333,0.429
Ｊ．ウィーランド,DeNA,岡本　和真,巨人,0.2,12,10,2,2,0,0,0,2,1,1,0,1,0.533,0.333,0.2
石田　裕太郎,DeNA,岡本　和真,巨人,0.5,10,10,5,3,0,0,2,11,0,0,0,1,1.6,0.5,1.1
Ｔ．バウアー,DeNA,岡本　和真,巨人,0.5,9,8,4,1,0,0,3,13,1,0,0,1,2.181,0.556,1.625
Ｊ．Ｂ．ウェンデルケン,DeNA,岡本　和真,巨人,0.2,9,5,1,0,1,0,0,2,4,0,0,2,0.956,0.556,0.4
武藤　祐太,DeNA,岡本　和真,巨人,0.143,7,7,1,0,0,0,1,4,0,0,0,3,0.714,0.143,0.571
櫻井　周斗,DeNA,岡本　和真,巨人,0.5,7,6,3,2,0,0,1,6,1,0,0,1,1.571,0.571,1
森原　康平,DeNA,岡本　和真,巨人,0,7,5,0,0,0,0,0,0,1,1,0,2,0.286,0.286,0
中川　虎大,DeNA,岡本　和真,巨人,0.333,6,6,2,2,0,0,0,2,0,0,0,2,0.666,0.333,0.333
Ｒ．ガゼルマン,DeNA,岡本　和真,巨人,0.2,6,5,1,0,1,0,0,2,1,0,0,1,0.733,0.333,0.4
佐々木　千隼,DeNA,岡本　和真,巨人,0,6,5,0,0,0,0,0,0,1,0,0,3,0.167,0.167,0
Ｒ．ウィック,DeNA,岡本　和真,巨人,0.25,6,4,1,0,0,0,1,4,2,0,0,0,1.5,0.5,1
田中　健二朗,DeNA,岡本　和真,巨人,0,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0
飯塚　悟史,DeNA,岡本　和真,巨人,0.5,5,4,2,1,1,0,0,3,1,0,0,1,1.35,0.6,0.75
吉野　光樹,DeNA,岡本　和真,巨人,0.4,5,5,2,2,0,0,0,2,0,0,0,1,0.8,0.4,0.4
石川　達也,DeNA,岡本　和真,巨人,0.25,5,4,1,0,1,0,0,2,1,0,0,1,0.9,0.4,0.5
森　唯斗,DeNA,岡本　和真,巨人,0.4,5,5,2,1,1,0,0,3,0,0,0,0,1,0.4,0.6
Ｋ．シャッケルフォード,DeNA,岡本　和真,巨人,0,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0
入江　大生,DeNA,岡本　和真,巨人,0,4,2,0,0,0,0,0,0,2,0,0,1,0.5,0.5,0
宮國　椋丞,DeNA,岡本　和真,巨人,0.75,4,4,3,2,0,0,1,6,0,0,0,0,2.25,0.75,1.5
砂田　毅樹,DeNA,岡本　和真,巨人,0.333,4,3,1,1,0,0,0,1,1,0,0,0,0.833,0.5,0.333
阪口　皓亮,DeNA,岡本　和真,巨人,0.333,4,3,1,0,0,0,1,4,1,0,0,0,1.833,0.5,1.333
笠井　崇正,DeNA,岡本　和真,巨人,0.5,4,4,2,2,0,0,0,2,0,0,0,0,1,0.5,0.5
中川　颯,DeNA,岡本　和真,巨人,0.333,3,3,1,0,0,0,1,4,0,0,0,0,1.666,0.333,1.333
宮城　滝太,DeNA,岡本　和真,巨人,0.333,3,3,1,0,0,0,1,4,0,0,0,2,1.666,0.333,1.333
竹田　祐,DeNA,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
松本　凌人,DeNA,岡本　和真,巨人,0.5,3,2,1,1,0,0,0,1,1,0,0,0,1.167,0.667,0.5
Ｅ．バリオス,DeNA,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
藤岡　好明,DeNA,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
三浦　銀二,DeNA,岡本　和真,巨人,1,2,2,2,1,1,0,0,3,0,0,0,0,2.5,1,1.5
Ｍ．ピープルズ,DeNA,岡本　和真,巨人,1,2,2,2,1,1,0,0,3,0,0,0,0,2.5,1,1.5
堀岡　隼人,DeNA,岡本　和真,巨人,0.5,2,2,1,0,1,0,0,2,0,0,0,1,1.5,0.5,1
池谷　蒼大,DeNA,岡本　和真,巨人,0.5,2,2,1,0,0,0,1,4,0,0,0,0,2.5,0.5,2
徳山　壮磨,DeNA,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
藤浪　晋太郎,DeNA,岡本　和真,巨人,1,1,1,1,1,0,0,0,1,0,0,0,0,2,1,1
赤間　謙,DeNA,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
進藤　拓也,DeNA,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
濱矢　廣大,DeNA,岡本　和真,巨人,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
齋藤　俊介,DeNA,岡本　和真,巨人,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
須田　幸太,DeNA,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ｂ．クリスキー,DeNA,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
風張　蓮,DeNA,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
西　勇輝,阪神,岡本　和真,巨人,0.2,81,70,14,10,3,0,1,20,9,1,0,14,0.582,0.296,0.286
才木　浩人,阪神,岡本　和真,巨人,0.235,56,51,12,7,3,0,2,21,4,1,0,11,0.716,0.304,0.412
青柳　晃洋,阪神,岡本　和真,巨人,0.267,50,45,12,7,1,0,4,25,2,2,0,9,0.876,0.32,0.556
髙橋　遥人,阪神,岡本　和真,巨人,0.295,48,44,13,6,4,0,3,26,4,0,0,12,0.945,0.354,0.591
伊藤　将司,阪神,岡本　和真,巨人,0.139,38,36,5,5,0,0,0,5,1,0,0,8,0.297,0.158,0.139
岩崎　優,阪神,岡本　和真,巨人,0.2,35,30,6,4,1,0,1,10,5,0,0,3,0.647,0.314,0.333
秋山　拓巳,阪神,岡本　和真,巨人,0.233,32,30,7,5,1,0,1,11,2,0,0,7,0.648,0.281,0.367
岩貞　祐太,阪神,岡本　和真,巨人,0.346,31,26,9,5,4,0,0,13,4,1,0,5,0.952,0.452,0.5
藤浪　晋太郎,阪神,岡本　和真,巨人,0.476,25,21,10,7,2,0,1,15,4,0,0,6,1.274,0.56,0.714
Ｏ．ガルシア,阪神,岡本　和真,巨人,0.4,21,20,8,4,2,0,2,16,1,0,0,0,1.229,0.429,0.8
Ｒ．メッセンジャー,阪神,岡本　和真,巨人,0.105,20,19,2,1,0,0,1,5,1,0,0,4,0.413,0.15,0.263
西　純矢,阪神,岡本　和真,巨人,0.333,18,15,5,2,1,0,2,12,3,0,0,1,1.244,0.444,0.8
村上　頌樹,阪神,岡本　和真,巨人,0.067,17,15,1,0,1,0,0,2,2,0,0,2,0.309,0.176,0.133
石井　大智,阪神,岡本　和真,巨人,0.267,17,15,4,2,0,0,2,10,2,0,0,4,1.02,0.353,0.667
Ｊ．ガンケル,阪神,岡本　和真,巨人,0.188,17,16,3,2,0,0,1,6,1,0,0,2,0.61,0.235,0.375
大竹　耕太郎,阪神,岡本　和真,巨人,0.5,15,14,7,4,2,0,1,12,1,0,0,1,1.39,0.533,0.857
浜地　真澄,阪神,岡本　和真,巨人,0.417,13,12,5,2,0,0,3,14,1,0,0,2,1.629,0.462,1.167
Ｊ．ビーズリー,阪神,岡本　和真,巨人,0.077,13,13,1,1,0,0,0,1,0,0,0,6,0.154,0.077,0.077
Ａ．ウィルカーソン,阪神,岡本　和真,巨人,0.167,12,12,2,2,0,0,0,2,0,0,0,1,0.334,0.167,0.167
小野　泰己,阪神,岡本　和真,巨人,0.5,12,8,4,2,0,0,2,10,3,0,0,0,1.833,0.583,1.25
望月　惇志,阪神,岡本　和真,巨人,0.5,12,8,4,2,0,0,2,10,4,0,0,1,1.917,0.667,1.25
藤川　球児,阪神,岡本　和真,巨人,0.111,11,9,1,0,0,0,1,4,2,0,0,2,0.717,0.273,0.444
及川　雅貴,阪神,岡本　和真,巨人,0.286,10,7,2,1,1,0,0,3,3,0,0,2,0.929,0.5,0.429
桐敷　拓馬,阪神,岡本　和真,巨人,0.375,10,8,3,3,0,0,0,3,2,0,0,4,0.875,0.5,0.375
桑原　謙太朗,阪神,岡本　和真,巨人,0.286,8,7,2,1,0,0,1,5,1,0,0,3,1.089,0.375,0.714
Ｐ．ジョンソン,阪神,岡本　和真,巨人,0.125,8,8,1,1,0,0,0,1,0,0,0,3,0.25,0.125,0.125
Ｒ．アルカンタラ,阪神,岡本　和真,巨人,0.429,8,7,3,1,1,0,1,7,1,0,0,0,1.5,0.5,1
小川　一平,阪神,岡本　和真,巨人,0.125,8,8,1,1,0,0,0,1,0,0,0,1,0.25,0.125,0.125
馬場　皐輔,阪神,岡本　和真,巨人,0.125,8,8,1,0,1,0,0,2,0,0,0,3,0.375,0.125,0.25
Ｊ．ゲラ,阪神,岡本　和真,巨人,0.375,8,8,3,1,1,0,1,7,0,0,0,2,1.25,0.375,0.875
能見　篤史,阪神,岡本　和真,巨人,0.143,8,7,1,1,0,0,0,1,0,0,0,1,0.268,0.125,0.143
Ｋ．ケラー,阪神,岡本　和真,巨人,0.333,7,6,2,1,1,0,0,3,1,0,0,0,0.929,0.429,0.5
