game_date,game_id,team_id,target_game_runs,n_offensive_innings,opponent_team_id,top_bottom,home_away,stadium_id,starting_pitcher_id,current_pitcher_id,team_avg_runs_7d,opponent_avg_runs_7d,opponent_avg_runs_allowed_7d,opponent_starter_era,pitcher_era_before_inning,game_date_dt,top_bottom_cat,team_avg_runs_7d_bin,opponent_avg_runs_7d_bin,opponent_avg_runs_allowed_7d_bin,opponent_starter_era_bin,pitcher_era_before_inning_bin
2025/9/17,pl2025091705,オリックス,1,9,ロッテ,1,Home,京セラドーム大阪,P_0166,P_0166,3.0,4.333333333333333,4.666666666666667,9.0447,9.0447,2025-09-17,bottom,mid,high,high_allowed,very_high,very_high
2025/9/17,pl2025091706,西武,8,9,ソフトバンク,0,Away,みずほペイペイドーム,P_0137,P_0137,4.75,3.0,3.25,6.7613,6.7613,2025-09-17,top,high,mid,mid_allowed,very_high,very_high
2025/9/17,pl2025091706,ソフトバンク,11,8,西武,1,Home,みずほペイペイドーム,P_0244,P_0244,3.0,4.75,6.0,8.2996,8.2996,2025-09-17,bottom,mid,high,very_high_allowed,very_high,very_high
2025/9/18,cl2025091801,巨人,0,9,ヤクルト,0,Away,神宮,P_0111,P_0097,4.8,3.6666666666666665,6.166666666666667,7.6579,7.6579,2025-09-18,top,high,mid,very_high_allowed,very_high,very_high
2025/9/18,cl2025091801,ヤクルト,5,8,巨人,1,Home,神宮,P_0300,P_0300,3.6666666666666665,4.8,5.4,7.6345,7.6345,2025-09-18,bottom,mid,high,high_allowed,very_high,very_high
2025/9/18,cl2025091802,ＤｅＮＡ,7,9,中日,0,Away,バンテリンドーム,P_0215,P_0215,4.833333333333333,1.3333333333333333,4.5,7.65,7.65,2025-09-18,top,high,low,high_allowed,very_high,very_high
2025/9/18,cl2025091802,中日,4,9,ＤｅＮＡ,1,Home,バンテリンドーム,P_0103,P_0103,1.3333333333333333,4.833333333333333,2.1666666666666665,6.5,6.5,2025-09-18,bottom,low,high,low_allowed,very_high,very_high
2025/9/18,cl2025091806,阪神,7,9,広島,0,Away,マツダスタジアム,P_0303,P_0303,4.8,5.0,3.0,6.2308,6.2308,2025-09-18,top,high,high,mid_allowed,very_high,very_high
2025/9/18,cl2025091806,広島,2,9,阪神,1,Home,マツダスタジアム,P_0220,P_0220,5.0,4.8,3.0,6.8978,6.8978,2025-09-18,bottom,high,high,mid_allowed,very_high,very_high
2025/9/18,pl2025091803,オリックス,1,9,西武,0,Away,ベルーナドーム,P_0024,P_0024,2.6666666666666665,5.4,7.0,6.4286,6.4286,2025-09-18,top,mid,high,very_high_allowed,very_high,very_high
2025/9/18,pl2025091803,西武,2,9,オリックス,1,Home,ベルーナドーム,P_0331,P_0331,5.4,2.6666666666666665,4.333333333333333,8.5909,8.5909,2025-09-18,bottom,high,mid,high_allowed,very_high,very_high
2025/9/18,pl2025091804,楽天,0,9,ロッテ,0,Away,ＺＯＺＯマリン,P_0128,P_0128,4.6,4.0,4.142857142857143,8.0726,8.0726,2025-09-18,top,high,high,high_allowed,very_high,very_high
2025/9/18,pl2025091804,ロッテ,7,8,楽天,1,Home,ＺＯＺＯマリン,P_0163,P_0163,4.0,4.6,3.2,8.5368,8.5368,2025-09-18,bottom,high,high,mid_allowed,very_high,very_high
2025/9/18,pl2025091805,日本ハム,2,9,ソフトバンク,0,Away,みずほペイペイドーム,P_0085,P_0085,6.0,4.6,4.2,6.5515,6.5515,2025-09-18,top,very_high,high,high_allowed,very_high,very_high
2025/9/18,pl2025091805,ソフトバンク,3,8,日本ハム,1,Home,みずほペイペイドーム,P_0150,P_0150,4.6,6.0,4.333333333333333,7.1236,7.1236,2025-09-18,bottom,high,very_high,high_allowed,very_high,very_high
2025/9/19,cl2025091901,広島,4,9,巨人,0,Away,東京ドーム,P_0015,P_0015,4.833333333333333,4.4,5.8,7.1703,7.1703,2025-09-19,top,high,high,very_high_allowed,very_high,very_high
2025/9/19,cl2025091901,巨人,5,8,広島,1,Home,東京ドーム,P_0139,P_0139,4.4,4.833333333333333,3.8333333333333335,7.6242,7.6242,2025-09-19,bottom,high,high,mid_allowed,very_high,very_high
2025/9/19,cl2025091902,ヤクルト,6,9,中日,0,Away,バンテリンドーム,P_0140,P_0140,3.5,1.1666666666666667,4.666666666666667,8.2295,8.2295,2025-09-19,top,mid,low,high_allowed,very_high,very_high
2025/9/19,cl2025091902,中日,2,9,ヤクルト,1,Home,バンテリンドーム,P_0041,P_0041,1.1666666666666667,3.5,5.333333333333333,8.3027,8.3027,2025-09-19,bottom,low,mid,high_allowed,very_high,very_high
