game_date,batter_id,batter_name,pitcher_id,pitcher_name,stadium_id,Home_Away_id,bat_order,inning,top_bottom,out_count,runner1,runner2,runner3,score_diff,batter_hand,pitcher_hand,batter_avg,batter_ops,batter_obp,batter_slg,batter_iso,batter_vs_rhp_avg,batter_vs_rhp_ops,batter_vs_lhp_avg,batter_vs_lhp_ops,pitcher_era,pitcher_k9,pitcher_whip,pitcher_ops,vs_ops,previous_result1,previous_result2,previous_result3,previous_result4,previous_result5,label
2025/3/28,B_0005,T.キャベッジ,P_0002,奥川　恭伸,東京ドーム,Home,2,5,1,1,0,0,0,0,左,右,0.5,1.5,0.5,1,0.5,0.5,1.5,,,7.5,3,0.8333,0.6111,1.5,中飛,右２,,,,左２
2025/3/28,B_0006,吉川　尚輝,P_0002,奥川　恭伸,東京ドーム,Home,3,5,1,1,0,1,0,0,左,右,0,0,0,0,0,0,0,,,8.5263,2.8421,0.9474,0.7368,0,遊直,一ゴ,,,,遊直
2025/3/28,B_0019,浦田　俊輔,P_0002,奥川　恭伸,東京ドーム,Home,3,5,1,2,0,1,0,0,左,右,,,,,,,,,,8.1,2.7,0.9,0.7,,,,,,,二ゴ
2025/3/28,B_0009,D.サンタナ,P_0003,堀田　賢慎,東京ドーム,Away,4,6,0,0,0,0,0,0,右,右,0.5,1,0.5,0.5,0,0.5,1,,,,,,,,左安,三振,,,,左本
2025/3/28,B_0010,J.オスナ,P_0003,堀田　賢慎,東京ドーム,Away,5,6,0,0,0,0,0,1,右,右,0,0,0,0,0,0,0,,,27,0,3,5,,一失,二ゴ,,,,右飛
2025/3/28,B_0011,赤羽　由紘,P_0003,堀田　賢慎,東京ドーム,Away,6,6,0,1,0,0,0,1,右,右,0.5,1,0.5,0.5,0,0.5,1,,,13.5,0,1.5,2.5,,左安,遊飛,,,,三ゴ
2025/3/28,B_0016,茂木　栄五郎,P_0003,堀田　賢慎,東京ドーム,Away,7,6,0,2,0,0,0,1,左,右,0,0.5,0.5,0,0,0,0.5,,,9,0,1,1.6667,,四球,中飛,,,,右安
2025/3/28,B_0017,中村　悠平,P_0003,堀田　賢慎,東京ドーム,Away,8,6,0,2,1,0,0,1,右,右,0.5,1,0.5,0.5,0,0.5,1,,,13.5,0,1.5,1.75,,中安,右飛,,,,右飛
2025/3/28,B_0007,岡本　和真,P_0002,奥川　恭伸,東京ドーム,Home,4,6,1,0,0,0,0,-1,右,右,0,0,0,0,0,0,0,,,7.7143,2.5714,0.8571,0.6667,0,三振,三飛,,,,二ゴ
2025/3/28,B_0008,E.ヘルナンデス,P_0002,奥川　恭伸,東京ドーム,Home,5,6,1,1,0,0,0,-1,右,右,0,0,0,0,0,0,0,,,7.3636,2.4545,0.8182,0.6364,0,遊ゴ,左飛,,,,中安
2025/3/28,B_0012,坂本　勇人,P_0002,奥川　恭伸,東京ドーム,Home,6,6,1,1,1,0,0,-1,右,右,0,0,0,0,0,0,0,,,8.2174,2.3478,0.913,0.6957,0,左飛,三ゴ,,,,三併
2025/3/28,B_0001,西川　遙輝,P_0003,堀田　賢慎,東京ドーム,Away,1,7,0,0,0,0,0,1,左,右,0.3333,0.6667,0.3333,0.3333,0,0.333333,0.666667,,,10.8,0,1.2,1.4,,右安,二ゴ,一ゴ,,,三振
